"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","가구주_만연령","가구주연령_10세단위코드","가구주_혼인상태코드","입주형태코드","부채보유여부","소득5분위코드(보완)","소득10분위코드(보완)(2017년~)","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","경상소득(보완)","처분가능소득(보완)[경상소득(보완)-비소비지출(보완)]","원리금상환_생계부담_소득대비상환액비중","여유자금운용계획코드","금융자산투자운용방법코드","거주지주택가격전망코드","여유자금부동산투자여부","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","원리금연체여부","30일이상원리금연체여부","원리금상환_생계부담정도코드"
2023,570900311,840.451687972,G2,2,1,63,G5,3,1,G2,Q1,D01,Q2,D03,9613,1420,0,0,8193,8100,4800,3300,0,0,0,0,0,0,0,0,0,340,320,20,9613,917,810,,2,1,2,1,2,,,,,
2023,570900321,1087.760823839,G2,2,1,76,G5,3,5,G2,Q1,D02,Q2,D03,8560,60,0,0,8500,8500,0,8500,0,0,0,0,0,0,0,0,0,0,0,0,8560,1932,1844,,5,1,2,2,2,,,,,
2023,570900331,1221.10213728,G2,1,2,68,G5,2,1,G1,Q3,D06,Q5,D09,69345,10915,0,0,58430,55000,28000,27000,2400,2400,0,0,0,2400,2400,0,0,699,600,99,66945,5362,4622,20,1,1,2,1,1,,1,2,,1
2023,570900341,931.420399677,G2,2,1,64,G5,4,3,G2,Q2,D03,Q1,D02,5008,4520,0,1500,488,0,0,0,0,0,0,0,0,0,0,0,0,220,220,0,5008,2660,2083,,1,1,4,2,2,,,,,
2023,570900361,1282.640490483,G2,1,1,65,G5,4,1,G2,Q2,D04,Q1,D02,4850,2000,0,0,2850,2500,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,4850,3764,3479,,2,3,2,1,2,,,,,
2023,570900371,1240.395314476,G2,2,1,85,G5,3,5,G2,Q1,D01,Q1,D01,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,774,773,,1,1,4,2,2,,,,,
2023,571000302,1700.208462387,G2,2,1,50,G4,1,2,G1,Q2,D03,Q3,D06,25760,23270,277,2000,2490,1700,0,1700,8,8,0,0,0,0,0,0,0,110,110,0,25752,2506,2062,30,2,1,1,1,2,,2,2,,1
2023,571000352,1694.532519373,G2,2,3,81,G5,2,1,G2,Q1,D02,Q4,D08,45540,1340,0,0,44200,44000,8000,36000,0,0,0,0,0,0,0,0,0,2230,2200,30,45540,1650,1449,,1,1,4,2,2,,,,,
2023,571100302,942.35689207,G2,1,2,62,G5,2,1,G2,Q2,D03,Q2,D04,13000,1000,0,0,12000,12000,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,2763,2420,,1,1,4,2,2,,,,,
2023,571100312,1605.892147135,G2,1,3,56,G4,4,4,G2,Q2,D04,Q2,D03,5905,5730,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5905,3426,3373,,5,1,4,1,2,,,,,
