"조사연도","MD제공용_가구고유번호","가중값","수도권여부","가구주_성별코드","가구원수","가구주_만연령","가구주연령_10세단위코드","가구주_혼인상태코드","입주형태코드","부채보유여부","보완_소득5분위코드","보완_소득10분위코드","순자산5분위코드","순자산10분위코드","자산","자산_금융자산","자산_금융자산_저축_적립예치식저축_주식채권펀드금액","자산_금융자산_현거주지전월세보증금","자산_실물자산","자산_실물자산_부동산금액","자산_실물자산_부동산_거주주택금액","자산_실물자산_부동산_거주주택이외부동산금액","부채","부채_금융부채","부채_금융부채_담보대출금액","부채_금융부채_담보대출_대출용도_거주주택구입금액","부채_금융부채_담보대출_대출용도_거주주택이외부동산구입금액","부채_금융부채_신용대출금액","부채_금융부채_신용대출_대출종류_신용대출금액","부채_금융부채_신용대출_대출종류_마이너스통장금액","부채_금융부채_신용카드관련대출금액","원리금상환금액","원리금상환_원금상환금액","원리금상환_이자지급금액","순자산","보완_경상소득","보완_처분가능소득","원리금상환_생계부담_소득대비상환액비중","여유자금운용계획코드","금융자산투자운용방법코드","거주지주택가격전망코드","여유자금부동산투자여부","1년후금융부채규모전망코드","부채증가원인코드","1년전대비부채증감코드","원리금연체여부","30일이상원리금연체여부","원리금상환_생계부담정도코드"
2018,517800131,1681.86659915312,G1,1,4,55,G4,2,1,G1,Q5,D09,Q5,D10,206900,33700,0,0,173200,170000,140000,30000,500,0,0,0,0,0,0,0,0,0,0,0,206400,8673,4761,,2,1,2,1,2,,,,,
2018,517800141,1457.23593513626,G1,1,3,52,G4,2,1,G2,Q5,D10,Q5,D10,123500,3500,0,0,120000,120000,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,123500,20220,15876,,1,1,2,1,2,,,,,
2018,517800151,1681.86659915312,G1,1,4,45,G3,2,1,G1,Q5,D10,Q5,D09,108330,3330,0,0,105000,100000,100000,0,41000,41000,40000,40000,0,0,0,0,1000,2990,1820,1170,67330,28357,14786,,,,,,,,,,,
2018,517800161,1660.52491874722,G1,1,5,56,G4,2,3,G1,Q4,D07,Q1,D01,4012,3212,0,1000,800,0,0,0,50400,50400,10300,0,0,0,0,0,0,200,200,0,-46388,5959,4818,,,,,,,,,,,
2018,517800171,1248.44308399642,G1,1,3,34,G2,2,3,G1,Q3,D06,Q2,D03,8629,7357,1000,4000,1272,0,0,0,200,200,200,0,0,0,0,0,0,12,0,12,8429,4507,4228,,1,1,3,1,3,1,2,2,,2
2018,517800181,1660.52491874722,G1,1,5,72,G5,2,1,G1,Q3,D06,Q5,D10,241000,100,0,0,240900,240000,140000,100000,2900,0,0,0,0,0,0,0,0,0,0,0,238100,4982,4132,,,,,,,,,,,
2018,517800311,1360.48920859113,G1,1,2,63,G5,2,1,G1,Q2,D04,Q5,D09,78540,6420,0,0,72120,72000,34000,38000,2000,0,0,0,0,0,0,0,0,0,0,0,76540,2905,2544,,,,,,,,,,,
2018,517800321,1637.90751464895,G1,1,3,58,G4,2,1,G2,Q2,D03,Q5,D09,71778,5678,0,0,66100,62000,34000,28000,0,0,0,0,0,0,0,0,0,0,0,0,71778,2625,2069,,,,,,,,,,,
2018,517800331,1271.7415562366,G1,1,2,69,G5,2,1,G1,Q1,D02,Q4,D07,30844,5344,240,0,25500,25000,10000,15000,90,90,0,0,0,0,0,0,0,1500,1500,0,30754,1605,999,,,,,,,,,,,
2018,517800361,1761.60982992335,G1,1,3,82,G5,2,1,G1,Q2,D03,Q3,D05,18220,170,0,0,18050,18000,18000,0,1500,1500,1500,1500,0,0,0,0,0,180,160,20,16720,2290,2105,,1,1,2,2,1,,1,2,,2
2018,517800371,1860.0484743178,G1,1,2,79,G5,2,1,G2,Q1,D01,Q4,D07,32050,50,0,0,32000,32000,12000,20000,0,0,0,0,0,0,0,0,0,0,0,0,32050,668,661,,1,1,2,2,2,,,,,
2018,517800381,1199.92673250456,G1,2,1,59,G4,4,2,G1,Q2,D03,Q1,D01,1260,1260,0,1000,0,0,0,0,2500,2500,0,0,0,0,0,0,0,360,360,0,-1240,2174,2146,,,,,,,,,,,
2018,517800391,2036.43140698952,G1,1,5,29,G1,2,3,G1,Q1,D02,Q1,D02,3131,3131,0,375,0,0,0,0,700,700,700,0,0,0,0,0,0,35,0,35,2431,1334,1297,,,,,,,,,,,
2018,518200301,1847.73013171948,G1,2,1,38,G2,1,5,G2,Q1,D02,Q1,D01,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1509,1416,,1,1,2,2,2,,,,,
2018,518201171,1707.59717221967,G1,2,1,43,G3,1,2,G1,Q3,D05,Q1,D02,6646,6475,0,5500,171,0,0,0,3800,3800,3800,0,0,0,0,0,0,969,800,169,2846,3633,3052,10,3,1,3,1,1,,2,2,,1
2018,518201181,2680.78030560924,G1,2,3,55,G4,4,1,G1,Q4,D08,Q2,D04,21920,2920,0,0,19000,19000,19000,0,12120,12120,12000,12000,0,0,0,0,0,616,220,396,9800,7237,6286,,3,1,4,1,2,,1,2,,2
2018,518202171,2197.61965163094,G1,1,4,50,G4,2,1,G1,Q5,D09,Q5,D09,74355,24555,2000,0,49800,49000,40000,9000,7700,200,0,0,0,0,0,0,0,100,100,0,66655,8888,7030,5,1,1,2,1,2,,1,2,,1
2018,518202351,1711.86099257202,G1,1,2,51,G4,1,3,G1,Q2,D03,Q1,D01,302,302,0,300,0,0,0,0,520,520,200,0,0,320,320,0,0,192,180,12,-218,1975,1962,,1,1,3,2,2,,2,1,1,2
2018,518202361,1978.46075118938,G1,1,1,65,G5,4,5,G1,Q2,D03,Q1,D02,17100,1800,0,0,15300,12000,0,12000,15350,15350,14000,0,0,0,0,0,0,580,150,430,1750,1919,1338,,1,1,3,2,3,7,2,2,,2
2018,518203351,2685.84119270706,G1,1,3,36,G2,2,1,G1,Q2,D04,Q2,D04,17735,2835,0,0,14900,14000,14000,0,5292,5292,5292,5292,0,0,0,0,0,1928,1760,168,12443,3089,2529,,,,,,,,,,,
2018,518500151,2526.30438052405,G1,1,4,54,G4,2,3,G1,Q5,D10,Q2,D03,47250,44250,90,40000,3000,0,0,0,39000,39000,39000,0,0,0,0,0,0,3060,3000,60,8250,14082,11709,,,,,,,,,,,
2018,518500191,1354.56387843804,G1,2,2,32,G2,2,3,G2,Q2,D04,Q2,D03,4970,4970,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4970,2797,2568,,,,,,,,,,,
2018,518500211,1073.18663049898,G2,1,1,62,G5,1,3,G1,Q1,D01,Q1,D01,310,310,0,300,0,0,0,0,135,135,0,0,0,0,0,0,0,0,0,0,175,711,699,,,,,,,,,,,
2018,518500221,1211.44626711937,G2,1,2,70,G5,2,3,G2,Q1,D02,Q1,D02,1731,1731,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,1272,1271,,,,,,,,,,,
2018,518500231,1207.46413008674,G2,2,3,39,G2,1,1,G2,Q4,D08,Q4,D07,29930,4430,0,0,25500,25000,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,29930,7857,7022,,,,,,,,,,,
2018,518502311,2184.65600304909,G1,1,4,41,G3,2,1,G1,Q4,D07,Q3,D05,35039,1619,0,0,33420,33000,33000,0,16900,16900,16900,16900,0,0,0,0,0,610,100,510,18139,6499,5431,,3,2,2,1,3,8,3,2,,2
2018,518502321,2039.93937912264,G1,1,2,44,G3,2,1,G2,Q3,D06,Q3,D06,20996,6446,260,0,14550,13000,13000,0,0,0,0,0,0,0,0,0,0,205,200,5,20996,5118,4287,,1,1,2,2,2,,,,,
2018,518502331,2108.05749548815,G1,2,3,57,G4,2,2,G2,Q3,D05,Q2,D03,6790,6790,0,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,2000,40,6790,4160,3581,,2,1,3,1,1,,,,,
2018,518502341,2314.45230451037,G1,2,3,56,G4,2,3,G1,Q4,D07,Q2,D04,15580,15580,0,8000,0,0,0,0,6000,6000,6000,0,0,0,0,0,0,264,0,264,9580,5527,4920,,3,3,3,1,2,,2,2,,3
2018,518502351,2710.41778049556,G1,1,5,42,G3,2,1,G1,Q4,D08,Q4,D07,64291,4226,0,0,60065,56000,28000,28000,34000,15000,15000,0,15000,0,0,0,0,3385,3000,385,30291,6969,5681,,3,1,2,1,1,,1,2,,2
2018,518502361,1986.68418654977,G1,1,3,42,G3,2,3,G1,Q4,D08,Q2,D03,19756,17570,0,15500,2186,0,0,0,13000,13000,13000,0,0,0,0,0,0,394,10,384,6756,8185,6799,,3,1,3,2,1,,3,2,,2
